Loaded model from: checkpoints\lr1e-4_ent0.01\lr1e-4_ent0.01_final.pt
[subdiv=2] Ep    85 | Opp vs_random | Ret   72.40 | AvgRet   57.96 | WinRate 0.482 | Loss 7.2533 | VLoss 13.9177 | Ent 2.5776 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    86 | Opp self_play | Ret   68.80 | AvgRet   58.41 | WinRate 0.488 | Loss 9.8618 | VLoss 20.4924 | Ent 3.5844 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    87 | Opp vs_random | Ret   69.80 | AvgRet   58.54 | WinRate 0.494 | Loss 10.5508 | VLoss 21.6386 | Ent 3.6019 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    88 | Opp vs_random | Ret   45.70 | AvgRet   58.29 | WinRate 0.500 | Loss 9.0043 | VLoss 17.7599 | Ent 3.5927 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    89 | Opp vs_random | Ret   68.90 | AvgRet   59.02 | WinRate 0.494 | Loss 1.3808 | VLoss 3.0232 | Ent 2.8864 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    90 | Opp vs_random | Ret   56.50 | AvgRet   58.86 | WinRate 0.500 | Loss 7.6863 | VLoss 15.3548 | Ent 3.5789 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    91 | Opp vs_random | Ret   65.10 | AvgRet   59.10 | WinRate 0.505 | Loss 3.3007 | VLoss 6.6530 | Ent 3.3925 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    92 | Opp self_play | Ret   72.90 | AvgRet   59.16 | WinRate 0.511 | Loss 10.4916 | VLoss 21.6101 | Ent 3.4416 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    93 | Opp vs_random | Ret   34.50 | AvgRet   58.72 | WinRate 0.505 | Loss 7.4869 | VLoss 14.4591 | Ent 3.5823 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    94 | Opp vs_random | Ret   49.80 | AvgRet   58.21 | WinRate 0.511 | Loss 4.8198 | VLoss 9.5396 | Ent 3.4219 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    95 | Opp vs_random | Ret   26.40 | AvgRet   57.48 | WinRate 0.516 | Loss 21.1410 | VLoss 41.7521 | Ent 3.7237 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    96 | Opp vs_random | Ret   74.80 | AvgRet   57.62 | WinRate 0.521 | Loss 10.7470 | VLoss 20.6680 | Ent 3.4223 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    97 | Opp self_play | Ret   -7.70 | AvgRet   56.19 | WinRate 0.515 | Loss 10.7993 | VLoss 22.1439 | Ent 3.7813 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    98 | Opp vs_random | Ret   50.20 | AvgRet   57.54 | WinRate 0.520 | Loss 11.1524 | VLoss 22.5183 | Ent 3.7198 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    99 | Opp vs_random | Ret   67.10 | AvgRet   57.47 | WinRate 0.525 | Loss 6.5768 | VLoss 12.6177 | Ent 3.4443 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   100 | Opp self_play | Ret   33.80 | AvgRet   56.82 | WinRate 0.520 | Loss 12.2687 | VLoss 25.0045 | Ent 3.6726 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   101 | Opp vs_random | Ret   66.30 | AvgRet   57.70 | WinRate 0.515 | Loss 3.0045 | VLoss 5.4322 | Ent 3.3418 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   102 | Opp vs_random | Ret   82.80 | AvgRet   57.95 | WinRate 0.510 | Loss 4.4459 | VLoss 7.8570 | Ent 3.0794 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   103 | Opp self_play | Ret   56.40 | AvgRet   57.96 | WinRate 0.505 | Loss 7.9511 | VLoss 15.5593 | Ent 3.4514 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   104 | Opp vs_random | Ret   73.20 | AvgRet   58.06 | WinRate 0.500 | Loss 0.6909 | VLoss 2.3260 | Ent 3.2375 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   105 | Opp vs_random | Ret   61.80 | AvgRet   58.03 | WinRate 0.505 | Loss 9.5168 | VLoss 19.2935 | Ent 3.6875 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   106 | Opp vs_random | Ret   91.80 | AvgRet   58.22 | WinRate 0.509 | Loss 15.7504 | VLoss 31.9949 | Ent 3.6276 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   107 | Opp self_play | Ret   28.60 | AvgRet   57.37 | WinRate 0.514 | Loss 14.2601 | VLoss 29.2874 | Ent 3.7476 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   108 | Opp self_play | Ret   54.80 | AvgRet   56.91 | WinRate 0.519 | Loss 3.4907 | VLoss 6.3527 | Ent 3.2675 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   109 | Opp self_play | Ret   62.30 | AvgRet   56.77 | WinRate 0.523 | Loss 7.3274 | VLoss 14.7888 | Ent 3.4569 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   110 | Opp vs_random | Ret   66.80 | AvgRet   57.17 | WinRate 0.527 | Loss 11.6470 | VLoss 23.4066 | Ent 3.4904 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   111 | Opp vs_random | Ret   67.00 | AvgRet   57.23 | WinRate 0.523 | Loss 8.1133 | VLoss 17.0920 | Ent 3.6293 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   112 | Opp vs_random | Ret   52.60 | AvgRet   58.55 | WinRate 0.518 | Loss 11.6937 | VLoss 23.7954 | Ent 3.4184 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   113 | Opp vs_random | Ret   82.90 | AvgRet   58.59 | WinRate 0.513 | Loss 1.3384 | VLoss 1.8351 | Ent 2.5117 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   114 | Opp self_play | Ret   76.70 | AvgRet   59.78 | WinRate 0.509 | Loss 20.2733 | VLoss 40.2385 | Ent 3.2800 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   115 | Opp self_play | Ret   72.10 | AvgRet   59.89 | WinRate 0.504 | Loss 7.9175 | VLoss 15.3102 | Ent 3.3485 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   116 | Opp vs_random | Ret   74.10 | AvgRet   60.52 | WinRate 0.509 | Loss 5.4764 | VLoss 11.5305 | Ent 3.3421 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   117 | Opp vs_random | Ret   67.00 | AvgRet   60.33 | WinRate 0.504 | Loss 13.3863 | VLoss 26.0468 | Ent 2.7357 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   118 | Opp vs_random | Ret   17.80 | AvgRet   59.36 | WinRate 0.500 | Loss 9.1596 | VLoss 18.0334 | Ent 3.7688 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   119 | Opp vs_random | Ret   32.70 | AvgRet   58.98 | WinRate 0.504 | Loss 5.1413 | VLoss 10.0331 | Ent 3.6278 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   120 | Opp vs_random | Ret   76.80 | AvgRet   59.18 | WinRate 0.500 | Loss 3.3057 | VLoss 5.5548 | Ent 3.1598 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   121 | Opp vs_random | Ret   62.60 | AvgRet   59.56 | WinRate 0.496 | Loss 15.8581 | VLoss 30.8897 | Ent 2.1771 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   122 | Opp self_play | Ret    3.20 | AvgRet   57.74 | WinRate 0.500 | Loss 12.2819 | VLoss 24.0293 | Ent 3.6064 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   123 | Opp vs_random | Ret   77.30 | AvgRet   57.98 | WinRate 0.504 | Loss 3.6753 | VLoss 7.2191 | Ent 3.3519 | EntCoef 0.00000 | Winner: 0
